nome_praia,geometry,Concelho,nome_praia_final
Praia Verde,"c(-7.47961999999995, 37.1732900000001)",Castro Marim,Praia Verde (Castro Marim)
Alagoa - Altura,"c(-7.49755999999996, 37.1690600000001)",Castro Marim,Alagoa - Altura (Castro Marim)
Amado,"c(-8.90344999999996, 37.1669800000001)",Aljezur,Amado (Aljezur)
Lota,"c(-7.51332999999994, 37.1652800000001)",Vila Real de Santo António,Lota (Vila Real de Santo António)
Manta Rota,"c(-7.51749999999993, 37.16333)",Vila Real de Santo António,Manta Rota (Vila Real de Santo António)
Fábrica - Mar,"c(-7.55172899999997, 37.149184)",Vila Real de Santo António,Fábrica - Mar (Vila Real de Santo António)
Cabanas - Mar,"c(-7.58966999999996, 37.1334400000001)",Tavira,Cabanas - Mar (Tavira)
Cabanas Poente,"c(-7.60018999999994, 37.1281700000001)",Tavira,Cabanas Poente (Tavira)
Alvor - Poente,"c(-8.59723999999994, 37.1221800000001)",Portimão,Alvor - Poente (Portimão)
Alvor - Nascente,"c(-8.58656999999994, 37.1207410000001)",Portimão,Alvor - Nascente (Portimão)
Três Irmãos,"c(-8.58181199999996, 37.11947)",Portimão,Três Irmãos (Portimão)
Vau,"c(-8.55813999999998, 37.1194100000001)",Portimão,Vau (Portimão)
Barranco das Canas,"c(-8.56380999999993, 37.11938)",Portimão,Barranco das Canas (Portimão)
Careanos/Amado,"c(-8.55498999999998, 37.1187100000001)",Portimão,Careanos/Amado (Portimão)
Três Castelos,"c(-8.54829999999993, 37.1176)",Portimão,Três Castelos (Portimão)
Ferragudo (Praia Grande),"c(-8.52181999999993, 37.1172800000001)",Lagoa,Ferragudo - Praia Grande (Lagoa)
Rocha,"c(-8.53736999999995, 37.11605)",Portimão,Rocha (Portimão)
Marina de Portimão,"c(-8.52806999999996, 37.1150400000001)",Portimão,Marina de Portimão (Portimão)
Meia Praia,"c(-8.65161799999993, 37.1141700000001)",Lagos,Meia Praia (Lagos)
Ilha de Tavira - Mar,"c(-7.61984999999993, 37.10979)",Tavira,Ilha de Tavira - Mar (Tavira)
Cordoama,"c(-8.93781999999993, 37.1094200000001)",Vila do Bispo,Cordoama (Vila do Bispo)
Pintadinho,"c(-8.51896999999997, 37.1077900000001)",Lagoa,Pintadinho (Lagoa)
Caneiros,"c(-8.51399999999995, 37.10486)",Lagoa,Caneiros (Lagoa)
Meia Praia Poente,"c(-8.66523299999994, 37.1047800000001)",Lagoa,Meia Praia Poente (Lagoa)
Vale do Olival,"c(-8.36952999999994, 37.1015200000001)",Lagoa,Vale do Olival (Lagoa)
Armação de Pêra,"c(-8.36602999999997, 37.10146)",Silves,Armação de Pêra (Silves)
Castelejo,"c(-8.94574999999998, 37.10015)",Vila do Bispo,Castelejo (Vila do Bispo)
Tremoços,"c(-8.37707999999998, 37.0998200000001)",Lagoa,Tremoços (Lagoa)
Barcos/Armação de Pêra Nascente,"c(-8.35696999999993, 37.09981)",Silves,Barcos/Armação de Pêra Nascente (Silves)
Cova Redonda,"c(-8.37991999999997, 37.09858)",Lagoa,Cova Redonda (Lagoa)
Batata,"c(-8.66776999999996, 37.09797)",Lagos,Batata (Lagos)
Terra Estreita,"c(-7.64061999999996, 37.0976700000001)",Tavira,Terra Estreita (Tavira)
Senhora da Rocha,"c(-8.38582999999994, 37.09687)",Lagoa,Senhora da Rocha (Lagoa)
Praia Grande - Poente,"c(-8.34782999999993, 37.0968500000001)",Silves,Praia Grande - Poente (Silves)
Carvoeiro,"c(-8.47226999999998, 37.09617)",Lagoa,Carvoeiro (Lagoa)
Praia Nova da Senhora da Rocha,"c(-8.38844499999993, 37.095938)",Lagoa,Praia Nova da Senhora da Rocha (Lagoa)
Praia Grande - Nascente,"c(-8.33813999999995, 37.0925500000001)",Silves,Praia Grande - Nascente (Silves)
D. Ana,"c(-8.66899999999993, 37.0916)",Lagos,D. Ana (Lagos)
Vale Centeanes,"c(-8.45559999999995, 37.0912200000001)",Lagoa,Vale Centeanes (Lagoa)
Albandeira,"c(-8.39997999999997, 37.09094)",Lagoa,Albandeira (Lagoa)
Belharucas,"c(-8.18340999999998, 37.0906200000001)",Albufeira,Belharucas (Albufeira)
Marinha,"c(-8.41285999999997, 37.08957)",Lagoa,Marinha (Lagoa)
Olhos de Água,"c(-8.19032999999996, 37.0895600000001)",Albufeira,Olhos de Água (Albufeira)
Maria Luísa,"c(-8.20082999999994, 37.0889700000001)",Albufeira,Maria Luísa (Albufeira)
Salgados,"c(-8.32938999999993, 37.0884500000001)",Albufeira,Salgados (Albufeira)
Santa Eulália,"c(-8.21396999999996, 37.08777)",Albufeira,Santa Eulália (Albufeira)
Camilo,"c(-8.66838999999993, 37.08736)",Lagos,Camilo (Lagos)
Benagil,"c(-8.42635999999993, 37.0871500000001)",Lagoa,Benagil (Lagoa)
Peneco,"c(-8.25246999999996, 37.08642)",Albufeira,Peneco (Albufeira)
Pescadores,"c(-8.24906999999996, 37.0864)",Albufeira,Pescadores (Albufeira)
Luz (Lagos),"c(-8.72637999999995, 37.08635)",Lagos,Luz (Lagos)
Falésia Açoteias,"c(-8.16814999999997, 37.0858900000001)",Albufeira,Falésia Açoteias (Albufeira)
