nome_praia,geometry,Concelho,nome_praia_final
Santo André,"c(-8.78778499999993, 41.416431)",Póvoa de Varzim,Santo André (Póvoa de Varzim)
Quião,"c(-8.78282099999996, 41.4086790000001)",Póvoa de Varzim,Quião (Póvoa de Varzim)
Esteiro,"c(-8.77858899999995, 41.401189)",Póvoa de Varzim,Esteiro (Póvoa de Varzim)
Fragosa,"c(-8.77943999999997, 41.3975)",Póvoa de Varzim,Fragosa (Póvoa de Varzim)
Fragosinho,"c(-8.77754299999998, 41.394121)",Póvoa de Varzim,Fragosinho (Póvoa de Varzim)
Pontes,"c(-8.77706399999994, 41.393677)",Póvoa de Varzim,Pontes (Póvoa de Varzim)
Lagoa,"c(-8.77672299999995, 41.393199)",Póvoa de Varzim,Lagoa (Póvoa de Varzim)
Hotel,"c(-8.77528199999995, 41.391825)",Póvoa de Varzim,Hotel (Póvoa de Varzim)
Lagoa II,"c(-8.77472799999993, 41.390657)",Póvoa de Varzim,Lagoa II (Póvoa de Varzim)
Lada I,"c(-8.77518999999995, 41.3891370000001)",Póvoa de Varzim,Lada I (Póvoa de Varzim)
Lada II,"c(-8.77494099999996, 41.3883230000001)",Póvoa de Varzim,Lada II (Póvoa de Varzim)
Beijinhos,"c(-8.77508699999993, 41.3878690000001)",Póvoa de Varzim,Beijinhos (Póvoa de Varzim)
Verde,"c(-8.77417699999995, 41.3854920000001)",Póvoa de Varzim,Verde (Póvoa de Varzim)
Azul (Póvoa de Varzim),"c(-8.77229899999998, 41.384596)",Póvoa de Varzim,Azul (Póvoa de Varzim)
Salgueira,"c(-8.77128899999997, 41.3824970000001)",Póvoa de Varzim,Salgueira (Póvoa de Varzim)
Carvalhido,"c(-8.77033699999993, 41.3807810000001)",Póvoa de Varzim,Carvalhido (Póvoa de Varzim)
Redonda,"c(-8.76929599999994, 41.379374)",Póvoa de Varzim,Redonda (Póvoa de Varzim)
Loulé,"c(-8.76907199999994, 41.3786910000001)",Póvoa de Varzim,Loulé (Póvoa de Varzim)
Redonda/Leixão,"c(-8.76880799999998, 41.3780610000001)",Póvoa de Varzim,Redonda/Leixão (Póvoa de Varzim)
Barcos,"c(-8.76032399999997, 41.361698)",Vila do Conde,Barcos (Vila do Conde)
Mar e Sol (Vila do Conde),"c(-8.75955599999998, 41.361365)",Vila do Conde,Mar e Sol (Vila do Conde)
Luzimar,"c(-8.75855099999995, 41.3607660000001)",Vila do Conde,Luzimar (Vila do Conde)
Pôr do Sol,"c(-8.75719099999998, 41.359047)",Vila do Conde,Pôr do Sol (Vila do Conde)
Caxinas,"c(-8.75641799999994, 41.357847)",Vila do Conde,Caxinas (Vila do Conde)
Olinda,"c(-8.75477499999994, 41.3517420000001)",Vila do Conde,Olinda (Vila do Conde)
Turismo,"c(-8.75419999999997, 41.350465)",Vila do Conde,Turismo (Vila do Conde)
Praia Azul (Vila do Conde),"c(-8.75410699999998, 41.34844)",Vila do Conde,Praia Azul (Vila do Conde)
Ladeira,"c(-8.75461899999993, 41.344369)",Vila do Conde,Ladeira (Vila do Conde)
Forno,"c(-8.75318799999997, 41.3423760000001)",Vila do Conde,Forno (Vila do Conde)
N. Sª da Guia,"c(-8.75074299999994, 41.34088)",Vila do Conde,N. Sª da Guia (Vila do Conde)
Árvore,"c(-8.74006999999995, 41.3303100000001)",Vila do Conde,Árvore (Vila do Conde)
Mindelo,"c(-8.74039799999997, 41.3094510000001)",Vila do Conde,Mindelo (Vila do Conde)
Pinhal dos Elétricos,"c(-8.73810599999996, 41.3034700000001)",Vila do Conde,Pinhal dos Elétricos (Vila do Conde)
Laderça,"c(-8.73755199999994, 41.3007720000001)",Vila do Conde,Laderça (Vila do Conde)
Terra Nova,"c(-8.73734499999995, 41.298145)",Vila do Conde,Terra Nova (Vila do Conde)
Congreira,"c(-8.73621799999995, 41.2950680000001)",Vila do Conde,Congreira (Vila do Conde)
Vila Chã,"c(-8.73305399999998, 41.2899090000001)",Vila do Conde,Vila Chã (Vila do Conde)
Pucinho,"c(-8.73242199999993, 41.2883870000001)",Vila do Conde,Pucinho (Vila do Conde)
São Paio/Moreiró,"c(-8.73186699999997, 41.2831800000001)",Vila do Conde,São Paio/Moreiró (Vila do Conde)
Labruge,"c(-8.72860999999995, 41.27444)",Vila do Conde,Labruge (Vila do Conde)
Angeiras Norte,"c(-8.72777999999994, 41.26944)",Matosinhos,Angeiras Norte (Matosinhos)
Central,"c(-8.72860999999995, 41.2652800000001)",Matosinhos,Central (Matosinhos)
Funtão,"c(-8.72499999999997, 41.25944)",Matosinhos,Funtão (Matosinhos)
Pedras Brancas,"c(-8.72471999999993, 41.2533300000001)",Matosinhos,Pedras Brancas (Matosinhos)
Pedras do Corgo,"c(-8.72582999999997, 41.2488900000001)",Matosinhos,Pedras do Corgo (Matosinhos)
Pedras da Agudela,"c(-8.72756199999998, 41.2434930000001)",Matosinhos,Pedras da Agudela (Matosinhos)
Agudela,"c(-8.72754199999997, 41.241094)",Matosinhos,Agudela (Matosinhos)
Quebrada,"c(-8.72610999999995, 41.23972)",Matosinhos,Quebrada (Matosinhos)
Marreco,"c(-8.72360999999995, 41.2350000000001)",Matosinhos,Marreco (Matosinhos)
Memória,"c(-8.72193999999996, 41.23056)",Matosinhos,Memória (Matosinhos)
Cabo do Mundo,"c(-8.71610999999996, 41.22306)",Matosinhos,Cabo do Mundo (Matosinhos)
Azul (Matosinhos),"c(-8.71614999999997, 41.2077800000001)",Matosinhos,Azul (Matosinhos)
Aterro,"c(-8.71666999999997, 41.2061100000001)",Matosinhos,Aterro (Matosinhos)
Boa Nova-Senhora,"c(-8.71377999999993, 41.2017300000001)",Matosinhos,Boa Nova-Senhora (Matosinhos)
Fuzelhas,"c(-8.71004999999997, 41.19604)",Matosinhos,Fuzelhas (Matosinhos)
Leça da Palmeira,"c(-8.70693999999997, 41.1908300000001)",Matosinhos,Leça da Palmeira (Matosinhos)
Matosinhos (Norte),"c(-8.69428899999997, 41.179358)",Matosinhos,Matosinhos Norte (Matosinhos)
Matosinhos (Centro),"c(-8.69202499999994, 41.176855)",Matosinhos,Matosinhos Centro (Matosinhos)
Matosinhos (Sul),"c(-8.69010199999997, 41.1745060000001)",Matosinhos,Matosinhos Sul (Matosinhos)
Castelo do Queijo,"c(-8.69027999999997, 41.16806)",Porto,Castelo do Queijo (Porto)
Homem do Leme,"c(-8.68638999999996, 41.16056)",Porto,Homem do Leme (Porto)
Molhe,"c(-8.68388799999997, 41.1579600000001)",Porto,Molhe (Porto)
Gondarém,"c(-8.68173599999994, 41.156123)",Porto,Gondarém (Porto)
Luz (Porto),"c(-8.67945299999997, 41.1528960000001)",Porto,Luz (Porto)
Ingleses,"c(-8.67833899999994, 41.1518090000001)",Porto,Ingleses (Porto)
Ourigo,"c(-8.67701699999998, 41.149978)",Porto,Ourigo (Porto)
Carneiro,"c(-8.67619099999996, 41.1488190000001)",Porto,Carneiro (Porto)
Pastoras,"c(-8.67547399999995, 41.14727)",Porto,Pastoras (Porto)
Lavadores,"c(-8.66816599999993, 41.128592)",Vila Nova de Gaia,Lavadores (Vila Nova de Gaia)
Pedras Amarelas,"c(-8.66742999999997, 41.1264100000001)",Vila Nova de Gaia,Pedras Amarelas (Vila Nova de Gaia)
Estrela-do-Mar,"c(-8.66749999999996, 41.1225660000001)",Vila Nova de Gaia,Estrela-do-Mar (Vila Nova de Gaia)
Salgueiros,"c(-8.66526299999998, 41.1200150000001)",Vila Nova de Gaia,Salgueiros (Vila Nova de Gaia)
Sereia da Costa Verde,"c(-8.66453399999995, 41.1172110000001)",Vila Nova de Gaia,Sereia da Costa Verde (Vila Nova de Gaia)
Canide Norte,"c(-8.66470399999997, 41.115279)",Vila Nova de Gaia,Canide Norte (Vila Nova de Gaia)
Canide Sul,"c(-8.66360999999995, 41.1119400000001)",Vila Nova de Gaia,Canide Sul (Vila Nova de Gaia)
Marbelo,"c(-8.66269099999994, 41.106048)",Vila Nova de Gaia,Marbelo (Vila Nova de Gaia)
Madalena Norte,"c(-8.66221999999993, 41.10306)",Vila Nova de Gaia,Madalena Norte (Vila Nova de Gaia)
Madalena Sul,"c(-8.66082999999998, 41.09972)",Vila Nova de Gaia,Madalena Sul (Vila Nova de Gaia)
Valadares Norte,"c(-8.65805999999998, 41.0919400000001)",Vila Nova de Gaia,Valadares Norte (Vila Nova de Gaia)
Sindicato,"c(-8.65747899999997, 41.089138)",Vila Nova de Gaia,Sindicato (Vila Nova de Gaia)
Atlântico,"c(-8.65763499999997, 41.0853240000001)",Vila Nova de Gaia,Atlântico (Vila Nova de Gaia)
Dunas Mar,"c(-8.65693999999996, 41.0825)",Vila Nova de Gaia,Dunas Mar (Vila Nova de Gaia)
Francelos,"c(-8.65721999999994, 41.08)",Vila Nova de Gaia,Francelos (Vila Nova de Gaia)
Francemar,"c(-8.65749999999997, 41.0755600000001)",Vila Nova de Gaia,Francemar (Vila Nova de Gaia)
Sãozinha,"c(-8.65832999999998, 41.0725)",Vila Nova de Gaia,Sãozinha (Vila Nova de Gaia)
Senhor da Pedra,"c(-8.65860999999995, 41.06917)",Vila Nova de Gaia,Senhor da Pedra (Vila Nova de Gaia)
Miramar Norte,"c(-8.65768099999997, 41.0676560000001)",Vila Nova de Gaia,Miramar Norte (Vila Nova de Gaia)
Miramar Sul,"c(-8.65729299999998, 41.0661860000001)",Vila Nova de Gaia,Miramar Sul (Vila Nova de Gaia)
Mar e Sol (Vila Nova de Gaia),"c(-8.65693999999996, 41.0583300000001)",Vila Nova de Gaia,Mar e Sol (Vila Nova de Gaia)
Aguda,"c(-8.65582999999998, 41.0508300000001)",Vila Nova de Gaia,Aguda (Vila Nova de Gaia)
Granja,"c(-8.65027999999995, 41.0400000000001)",Vila Nova de Gaia,Granja (Vila Nova de Gaia)
Boca Mar,"c(-8.64638999999994, 41.03056)",Vila Nova de Gaia,Boca Mar (Vila Nova de Gaia)
"Frente Azul Norte (Marbelo, Pop Norte e Pop Sul)","c(-8.64496999999994, 41.0142030000001)",Espinho,"Frente Azul Norte - Marbelo, Pop Norte e Pop Sul (Espinho)"
Frente Azul Centro (Azul Norte e Azul Sul),"c(-8.64541299999996, 41.0126090000001)",Espinho,Frente Azul Centro - Azul Norte e Azul Sul (Espinho)
Frente Azul Sul (Seca e Costa Verde),"c(-8.64577799999995, 41.010747)",Espinho,Frente Azul Sul - Seca e Costa Verde (Espinho)
Baía,"c(-8.64693999999997, 41.0088900000001)",Espinho,Baía (Espinho)
Rua 37,"c(-8.64749999999998, 41.0013900000001)",Espinho,Rua 37 (Espinho)
Silvalde,"c(-8.64749999999998, 40.99028)",Espinho,Silvalde (Espinho)
Paramos,"c(-8.64971999999995, 40.97722)",Espinho,Paramos (Espinho)
Esmoriz,"c(-8.65692599999994, 40.9536350000001)",Ovar,Esmoriz (Ovar)
Cortegaça,"c(-8.65955599999995, 40.9404730000001)",Ovar,Cortegaça (Ovar)
Cortegaça - Parque Campismo,"c(-8.65918399999993, 40.9393450000001)",Ovar,Cortegaça - Parque Campismo (Ovar)
São Pedro de Maceda,"c(-8.66328999999996, 40.92042)",Ovar,São Pedro de Maceda (Ovar)
Furadouro,"c(-8.67755299999993, 40.873706)",Ovar,Furadouro (Ovar)
Torrão do Lameiro,"c(-8.69166999999993, 40.8288900000001)",Ovar,Torrão do Lameiro (Ovar)
Torreira,"c(-8.71429399999994, 40.76149)",Murtosa,Torreira (Murtosa)
São Jacinto,"c(-8.74632299999996, 40.6695480000001)",Aveiro,São Jacinto (Aveiro)
Meia Laranja,"c(-8.74857099999997, 40.642684)",Ílhavo,Meia Laranja (Ílhavo)
Barra Norte (UB1-4),"c(-8.74997399999995, 40.638273)",Ílhavo,Barra Norte - UB1-4 (Ílhavo)
Barra Centro (UB5-8),"c(-8.74949799999996, 40.6336150000001)",Ílhavo,Barra Centro - UB5-8 (Ílhavo)
Barra Sul (UB9-13),"c(-8.74984899999993, 40.6311640000001)",Ílhavo,Barra Sul - UB9-13 (Ílhavo)
Costa Nova,"c(-8.75411499999996, 40.617485)",Ílhavo,Costa Nova (Ílhavo)
Costa Nova Sul,"c(-8.75447399999996, 40.6144650000001)",Ílhavo,Costa Nova Sul (Ílhavo)
Vagueira Norte,"c(-8.76960899999995, 40.5649260000001)",Vagos,Vagueira Norte (Vagos)
Vagueira,"c(-8.77041499999996, 40.561449)",Vagos,Vagueira (Vagos)
Vagueira Sul,"c(-8.77124599999996, 40.558728)",Vagos,Vagueira Sul (Vagos)
Labrego,"c(-8.77458399999995, 40.5518710000001)",Vagos,Labrego (Vagos)
Areão,"c(-8.78351899999996, 40.5210430000001)",Vagos,Areão (Vagos)
Poço da Cruz,"c(-8.79393099999993, 40.490232)",Mira,Poço da Cruz (Mira)
Mira Norte (UB1-6),"c(-8.80409399999996, 40.4556690000001)",Mira,Mira Norte - UB1-6 (Mira)
Mira Centro (UB7-10),"c(-8.80574999999993, 40.451919)",Mira,Mira Centro - UB7-10 (Mira)
Mira Sul,"c(-8.80727199999995, 40.447592)",Mira,Mira Sul (Mira)
Palheirão,"c(-8.82635199999993, 40.388024)",Cantanhede,Palheirão (Cantanhede)
Tocha,"c(-8.84553099999994, 40.3293380000001)",Cantanhede,Tocha (Cantanhede)
Quiaios,"c(-8.89434699999993, 40.2167860000001)",Figueira da Foz,Quiaios (Figueira da Foz)
Murtinheira,"c(-8.89762899999994, 40.2098570000001)",Figueira da Foz,Murtinheira (Figueira da Foz)
Cabo Mondego,"c(-8.89673499999998, 40.1750930000001)",Figueira da Foz,Cabo Mondego (Figueira da Foz)
Tamargueira,"c(-8.88678799999997, 40.16736)",Figueira da Foz,Tamargueira (Figueira da Foz)
Buarcos,"c(-8.87890199999993, 40.1633590000001)",Figueira da Foz,Buarcos (Figueira da Foz)
Alto do Viso,"c(-8.87328299999996, 40.154457)",Figueira da Foz,Alto do Viso (Figueira da Foz)
Relógio,"c(-8.87341099999998, 40.1508150000001)",Figueira da Foz,Relógio (Figueira da Foz)
Molhe Norte,"c(-8.87344099999996, 40.1492930000001)",Figueira da Foz,Molhe Norte (Figueira da Foz)
Praia do Forte (Farol),"c(-8.86781999999994, 40.14678)",Figueira da Foz,Praia do Forte - Farol (Figueira da Foz)
Cabedelinho,"c(-8.86646799999994, 40.1437490000001)",Figueira da Foz,Cabedelinho (Figueira da Foz)
Cabedelo Norte (UB4-6),"c(-8.86275499999994, 40.138408)",Figueira da Foz,Cabedelo Norte - UB4-6 (Figueira da Foz)
Cabedelo Sul (UB10-12),"c(-8.86271899999997, 40.1342240000001)",Figueira da Foz,Cabedelo Sul - UB10-12 (Figueira da Foz)
Cova-Gala,"c(-8.86424099999994, 40.1253)",Figueira da Foz,Cova-Gala (Figueira da Foz)
Costa de Lavos,"c(-8.87609999999995, 40.091306)",Figueira da Foz,Costa de Lavos (Figueira da Foz)
Leirosa,"c(-8.89087699999993, 40.0576100000001)",Figueira da Foz,Leirosa (Figueira da Foz)
Osso da Baleia,"c(-8.91487199999995, 40.003408)",Pombal,Osso da Baleia (Pombal)
Pedrógão Centro Norte (UB1-5),"c(-8.95030999999994, 39.92546)",Leiria,Pedrógão Centro Norte - UB1-5 (Leiria)
Pedrógão Centro Centro (UB6-12),"c(-8.95238099999995, 39.9211930000001)",Leiria,Pedrógão Centro Centro - UB6-12 (Leiria)
Pedrógão Sul,"c(-8.95511899999997, 39.9180230000001)",Leiria,Pedrógão Sul (Leiria)
Vieira,"c(-8.97358399999996, 39.87368)",Marinha Grande,Vieira (Marinha Grande)
Pedras Negras,"c(-9.02305199999995, 39.7802060000001)",Marinha Grande,Pedras Negras (Marinha Grande)
Praia Velha,"c(-9.02823299999994, 39.771533)",Marinha Grande,Praia Velha (Marinha Grande)
S. Pedro de Moel,"c(-9.03245299999998, 39.7557390000001)",Marinha Grande,S. Pedro de Moel (Marinha Grande)
Água de Madeiros,"c(-9.04043299999995, 39.7401170000001)",Alcobaça,Água de Madeiros (Alcobaça)
Pedra do Ouro,"c(-9.04716699999994, 39.725967)",Alcobaça,Pedra do Ouro (Alcobaça)
Polvoeira,"c(-9.04989999999998, 39.716283)",Alcobaça,Polvoeira (Alcobaça)
Paredes de Vitória Norte,"c(-9.05018599999994, 39.7030040000001)",Alcobaça,Paredes de Vitória Norte (Alcobaça)
Paredes de Vitória Sul,"c(-9.05053999999996, 39.7008900000001)",Alcobaça,Paredes de Vitória Sul (Alcobaça)
Corvo/Areia,"c(-31.12188, 39.6726200000001)",Alcobaça ,Areia (Corvo)
Légua,"c(-9.06983299999996, 39.6535670000001)",Alcobaça,Légua (Alcobaça)
Nazaré Norte,"c(-9.07431699999995, 39.6007740000001)",Alcobaça,Nazaré Norte (Alcobaça)
Nazaré Sul,"c(-9.07372199999998, 39.5948730000001)",Alcobaça,Nazaré Sul (Alcobaça)
Salgado,"c(-9.11191699999995, 39.5480830000001)",Alcobaça,Salgado (Alcobaça)
S. Martinho do Porto Norte,"c(-9.13549999999998, 39.510117)",Alcobaça,S. Martinho do Porto Norte (Alcobaça)
S. Martinho do Porto Sul,"c(-9.14178499999997, 39.5026080000001)",Alcobaça,S. Martinho do Porto Sul (Alcobaça)
Fajã Grande,"c(-31.26206, 39.45941)",Santa Cruz das Flores,Fajã Grande (Santa Cruz das Flores)
Santa Cruz das Flores,"c(-31.12582, 39.45856)",Santa Cruz das Flores,Santa Cruz das Flores (Santa Cruz das Flores)
Praia do Mar,"c(-9.22940999999997, 39.434914)",Caldas da Rainha,Praia do Mar (Caldas da Rainha)
Foz do Arelho-Lagoa,"c(-9.22349999999994, 39.42855)",Caldas da Rainha,Foz do Arelho-Lagoa (Caldas da Rainha)
Bom Sucesso,"c(-9.23518299999995, 39.4253670000001)",Óbidos,Bom Sucesso (Óbidos)
Rei do Cortiço,"c(-9.24704999999994, 39.4207000000001)",Óbidos,Rei do Cortiço (Óbidos)
Vale de Janelas,"c(-9.27761699999996, 39.40045)",Óbidos,Vale de Janelas (Óbidos)
Baleal Norte,"c(-9.33713299999994, 39.3738000000001)",Peniche,Baleal Norte (Peniche)
Baleal Sul,"c(-9.33901699999996, 39.3714000000001)",Peniche,Baleal Sul (Peniche)
Baleal Campismo,"c(-9.34012399999995, 39.3675210000001)",Peniche,Baleal Campismo (Peniche)
Gambôa,"c(-9.37246699999997, 39.36465)",Peniche,Gambôa (Peniche)
Peniche de Cima,"c(-9.36834999999996, 39.362283)",Peniche,Peniche de Cima (Peniche)
Cova da Alfarroba,"c(-9.36263299999996, 39.3609900000001)",Peniche,Cova da Alfarroba (Peniche)
Porto da Areia Sul,"c(-9.38878299999993, 39.3535000000001)",Peniche,Porto da Areia Sul (Peniche)
Molhe Leste,"c(-9.36800399999993, 39.3500080000001)",Peniche,Molhe Leste (Peniche)
Medão-Supertubos,"c(-9.36440499999998, 39.345355)",Peniche,Medão-Supertubos (Peniche)
Consolação Norte,"c(-9.35946699999994, 39.3293360000001)",Peniche,Consolação Norte (Peniche)
Consolação,"c(-9.35976999999997, 39.326958)",Peniche,Consolação (Peniche)
S. Bernardino,"c(-9.34689699999996, 39.311252)",Peniche,S. Bernardino (Peniche)
Areia Branca,"c(-9.33681199999995, 39.263809)",Lourinhã,Areia Branca (Lourinhã)
Areia Branca (Foz),"c(-9.33682599999997, 39.2638010000001)",Lourinhã,Areia Branca - Foz (Lourinhã)
Areal Sul,"c(-9.33849199999997, 39.259306)",Lourinhã,Areal Sul (Lourinhã)
Peralta,"c(-9.34199299999995, 39.245615)",Lourinhã,Peralta (Lourinhã)
Porto Dinheiro,"c(-9.34479499999998, 39.2141320000001)",Torres Vedras,Porto Dinheiro (Torres Vedras)
Valmitão,"c(-9.34751899999998, 39.2013900000001)",Torres Vedras,Valmitão (Torres Vedras)
Porto Novo,"c(-9.35684799999996, 39.1778340000001)",Torres Vedras,Porto Novo (Torres Vedras)
Santa Rita-Norte,"c(-9.35855699999996, 39.174491)",Torres Vedras,Santa Rita-Norte (Torres Vedras)
Santa Rita-Sul,"c(-9.36010899999997, 39.1714480000001)",Torres Vedras,Santa Rita-Sul (Torres Vedras)
Amanhã-Santa Cruz,"c(-9.37337399999996, 39.149079)",Torres Vedras,Amanhã-Santa Cruz (Torres Vedras)
Navio,"c(-9.37539699999996, 39.1458650000001)",Torres Vedras,Navio (Torres Vedras)
Mirante-Santa Cruz,"c(-9.37730899999997, 39.142902)",Torres Vedras,Mirante-Santa Cruz (Torres Vedras)
Pisão-Santa Cruz,"c(-9.37963999999994, 39.1407060000001)",Torres Vedras,Pisão-Santa Cruz (Torres Vedras)
Física-Santa Cruz,"c(-9.38084399999997, 39.139308)",Torres Vedras,Física-Santa Cruz (Torres Vedras)
Centro-Santa Cruz,"c(-9.38242599999995, 39.137862)",Torres Vedras,Centro-Santa Cruz (Torres Vedras)
Santa Helena,"c(-9.38439899999997, 39.1343160000001)",Torres Vedras,Santa Helena (Torres Vedras)
Guincho-Santa Cruz,"c(-9.38439799999998, 39.1343120000001)",Torres Vedras,Guincho-Santa Cruz (Torres Vedras)
Formosa,"c(-9.38569399999994, 39.1317750000001)",Torres Vedras,Formosa (Torres Vedras)
Azul (Torres Vedras),"c(-9.39378999999997, 39.11436)",Torres Vedras,Azul (Torres Vedras)
Foz do Sizandro-Mar,"c(-9.40124999999995, 39.1037000000001)",Torres Vedras,Foz do Sizandro-Mar (Torres Vedras)
Zona Balnear Santa Cruz (Calheta),"c(-28.0085599999999, 39.08775)",Santa Cruz da Graciosa,Zona Balnear Santa Cruz - Calheta (Santa Cruz da Graciosa)
Barro Vermelho,"c(-27.9709399999999, 39.05112)",Santa Cruz da Graciosa,Barro Vermelho (Santa Cruz da Graciosa)
Praia,"c(-27.9709349999999, 39.051119)",Santa Cruz da Graciosa,Praia (Santa Cruz da Graciosa)
Porto da Calada,"c(-9.41899799999993, 39.0327350000001)",Mafra,Porto da Calada - Ericeira (Mafra)
Piscina do Carapacho,"c(-27.9591, 39.0125600000001)",Mafra,Piscina do Carapacho (Santa Cruz da Graciosa)
S. Lourenço,"c(-9.42201799999998, 39.012073)",Mafra,São Lourenço - Ericeira (Mafra)
Coxos,"c(-9.42584299999993, 39.0044150000001)",Mafra,Coxos - Ericeira (Mafra)
Ribeira de Ilhas,"c(-9.41961899999995, 38.987464)",Mafra,Ribeira de Ilhas - Ericeira (Mafra)
Algodio ou do Norte,"c(-9.42026599999997, 38.967)",Mafra,Algodio ou do Norte - Ericeira (Mafra)
Ribeira ou dos Pescadores,"c(-9.41889399999997, 38.964075)",Mafra,Ribeira ou dos Pescadores - Ericeira (Mafra)
Baleia ou do Sul,"c(-9.41615799999994, 38.9561550000001)",Mafra,Baleia ou do Sul - Ericeira (Mafra)
Foz do Lizandro-Mar,"c(-9.41645599999993, 38.9424010000001)",Torres Vedras,Foz do Lizandro - Ericeira (Torres Vedras)
S. Julião,"c(-9.42015899999996, 38.932131)",Sintra,S. Julião (Sintra)
Magoito,"c(-9.44956699999994, 38.8636080000001)",Sintra,Magoito (Sintra)
Azenhas do Mar,"c(-9.46327999999994, 38.8404200000001)",Sintra,Azenhas do Mar (Sintra)
Maçãs,"c(-9.47049699999997, 38.8257620000001)",Sintra,Maçãs (Sintra)
Grande Norte,"c(-9.47724299999993, 38.8145880000001)",Sintra,Grande Norte (Sintra)
Grande Sul,"c(-9.47964999999994, 38.811582)",Sintra,Grande Sul (Sintra)
Adraga,"c(-9.48569099999997, 38.803522)",Sintra,Adraga (Sintra)
Biscoitos,"c(-27.25742, 38.8032600000001)",Praia da Vitória,Biscoitos (Praia da Vitória)
Calheta dos Lagadores,"c(-27.24596, 38.7997500000001)",Praia da Vitória,Calheta dos Lagadores (Praia da Vitória)
Quatro Ribeiras,"c(-27.2256199999999, 38.7926600000001)",Praia da Vitória,Quatro Ribeiras (Praia da Vitória)
Escaleiras,"c(-27.13564, 38.78729)",Praia da Vitória,Escaleiras (Praia da Vitória)
Prainha (Praia da Vitória),"c(-27.05524, 38.7309300000001)",Praia da Vitória,Prainha (Praia da Vitória)
Guincho,"c(-9.47490199999993, 38.7306740000001)",Cascais,Guincho (Cascais)
Praia Grande,"c(-27.06013, 38.7295800000001)",Cascais,Praia Grande - Terceira (Praia da Vitória)
Crismina,"c(-9.47698699999995, 38.7262950000001)",Cascais,Cresmina (Cascais)
Sargentos,"c(-27.0616199999999, 38.72594)",Cascais,Sargentos (Praia da Vitória)
Praia da Riviera,"c(-27.0605699999999, 38.7148300000001)",Cascais,Praia da Riviera (Praia da Vitória)
Tamariz,"c(-9.39883299999997, 38.7022890000001)",Cascais,Tamariz - Estoril (Cascais)
Poça,"c(-9.39204299999994, 38.7019320000001)",Cascais,Poça - Estoril (Cascais)
Moitas,"c(-9.41000399999996, 38.7016610000001)",Cascais,Moitas - Estoril (Cascais)
Duquesa,"c(-9.41444899999993, 38.700766)",Cascais,Duquesa (Cascais)
Azarujinha,"c(-9.38940799999995, 38.700632)",Cascais,Azarujinha - Estoril (Cascais)
Conceição,"c(-9.41636399999993, 38.700048)",Cascais,Conceição (Cascais)
Rainha (Cascais),"c(-9.41793699999994, 38.6991320000001)",Cascais,Rainha (Cascais)
Caxias,"c(-9.27382899999998, 38.69802)",Cascais,Caxias (Cascais)
S. Pedro do Estoril,"c(-9.36900399999996, 38.6931700000001)",Cascais,S. Pedro do Estoril (Cascais)
Paço d'Arcos,"c(-9.29708299999993, 38.689984)",Cascais,Paço d'Arcos - Oeiras (Cascais)
Avencas,"c(-9.35992599999997, 38.6877460000001)",Cascais,Avencas (Cascais)
Parede,"c(-9.35362099999998, 38.6855200000001)",Cascais,Parede (Cascais)
Santo Amaro,"c(-9.31194899999997, 38.6843260000001)",Cascais,Santo Amaro - Oeiras (Cascais)
Preguiça-Velas,"c(-28.21327, 38.68046)",Cascais,Preguiça - Velas (Velas)
Porto Martins,"c(-27.05542, 38.6803600000001)",Cascais,Porto Martins (Velas)
Carcavelos Nascente,"c(-9.33726099999996, 38.6802450000001)",Cascais,Carcavelos Nascente (Cascais)
Carcavelos Poente,"c(-9.33213199999994, 38.678206)",Cascais,Carcavelos Poente (Cascais)
Poça dos Frades,"c(-28.2081899999999, 38.67794)",Velas,Poça dos Frades (Velas)
Torre,"c(-9.32299799999993, 38.6754940000001)",Angra do Heroísmo,Torre - Oeiras (Cascais)
Cinco Ribeiras,"c(-27.3280599999999, 38.67472)",Angra do Heroísmo,Cinco Ribeiras (Angra do Heroísmo)
Salgueiros,"c(-27.0750399999999, 38.6711)",Angra do Heroísmo,Salgueiros (Angra do Heroísmo)
Cova do Vapor,"c(-9.25973699999997, 38.662002)",Almada,Cova do Vapor (Almada)
Praia S. João da Caparica,"c(-9.25483899999995, 38.659045)",Almada,Praia S. João da Caparica (Almada)
Negrito,"c(-27.2818, 38.65583)",Angra do Heroísmo,Negrito (Angra do Heroísmo)
Prainha (Angra do Heroísmo),"c(-27.2200599999999, 38.6535700000001)",Angra do Heroísmo,Prainha (Angra do Heroísmo)
Praia do Norte,"c(-9.24562899999995, 38.649979)",Almada,Praia do Norte (Almada)
Salga,"c(-27.0975999999999, 38.64833)",Angra do Heroísmo,Salga (Angra do Heroísmo)
St. António,"c(-9.24374099999994, 38.647408)",Almada,St. António (Almada)
Baía do Refugo,"c(-27.1128199999999, 38.6466500000001)",Angra do Heroísmo,Baía do Refugo (Angra do Heroísmo)
CDS,"c(-9.24175199999996, 38.6447670000001)",Almada,CDS (Almada)
Tarquinio-Paraíso,"c(-9.23894899999993, 38.6417490000001)",Almada,Tarquinio-Paraíso (Almada)
Dragão Vermelho,"c(-9.23765199999997, 38.639578)",Almada,Dragão Vermelho (Almada)
Praia Nova,"c(-9.23529899999994, 38.6373780000001)",Almada,Praia Nova (Almada)
Nova Praia,"c(-9.23206299999993, 38.633521)",Almada,Nova Praia (Almada)
