"","time","thetao","nome_praia","min","max","min2","max2","mean","dif"
"1",2024-07-01 14:00:00,13.7580001784954,"Foz do Minho (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-2.43984638025432
"2",2024-07-02 14:00:00,13.7850001797779,"Foz do Minho (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-2.41284637897182
"3",2024-07-01 14:00:00,13.7580001784954,"Moledo Norte (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-2.43984638025432
"4",2024-07-02 14:00:00,13.7850001797779,"Moledo Norte (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-2.41284637897182
"5",2024-07-01 14:00:00,13.7580001784954,"Moledo - Mergulho e Vapor (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-2.43984638025432
"6",2024-07-02 14:00:00,13.7850001797779,"Moledo - Mergulho e Vapor (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-2.41284637897182
"7",2024-07-01 14:00:00,13.7580001784954,"Moledo Sul (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-2.43984638025432
"8",2024-07-02 14:00:00,13.7850001797779,"Moledo Sul (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-2.41284637897182
"9",2024-07-01 14:00:00,14.5530002162559,"Vila Praia de Âncora (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-1.64484634249382
"10",2024-07-02 14:00:00,14.0150001907023,"Vila Praia de Âncora (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-2.18284636804742
"11",2024-07-01 14:00:00,14.5530002162559,"Forte do Cão - Gelfa (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-1.64484634249382
"12",2024-07-02 14:00:00,14.0150001907023,"Forte do Cão - Gelfa (Caminha)",14.3984877951468,17.9972053223526,12.5991290315439,19.7965640859555,16.1978465587497,-2.18284636804742
"13",2024-07-01 14:00:00,14.726000224473,"Ínsua (Viana do Castelo)",14.2611374306082,18.0332223487448,12.3750949715399,19.9192648078132,16.1471798896765,-1.42117966520351
"14",2024-07-02 14:00:00,14.0380001917947,"Ínsua (Viana do Castelo)",14.2611374306082,18.0332223487448,12.3750949715399,19.9192648078132,16.1471798896765,-2.10917969788181
"15",2024-07-01 14:00:00,14.726000224473,"Afife (Viana do Castelo)",14.2611374306082,18.0332223487448,12.3750949715399,19.9192648078132,16.1471798896765,-1.42117966520351
"16",2024-07-02 14:00:00,14.0380001917947,"Afife (Viana do Castelo)",14.2611374306082,18.0332223487448,12.3750949715399,19.9192648078132,16.1471798896765,-2.10917969788181
"17",2024-07-01 14:00:00,14.726000224473,"Arda/Bico (Viana do Castelo)",14.2611374306082,18.0332223487448,12.3750949715399,19.9192648078132,16.1471798896765,-1.42117966520351
"18",2024-07-02 14:00:00,14.0380001917947,"Arda/Bico (Viana do Castelo)",14.2611374306082,18.0332223487448,12.3750949715399,19.9192648078132,16.1471798896765,-2.10917969788181
"19",2024-07-01 14:00:00,14.8260002292227,"Paçô/Carreço (Viana do Castelo)",14.2611374306082,18.0332223487448,12.3750949715399,19.9192648078132,16.1471798896765,-1.32117966045381
"20",2024-07-02 14:00:00,14.0130001906073,"Paçô/Carreço (Viana do Castelo)",14.2611374306082,18.0332223487448,12.3750949715399,19.9192648078132,16.1471798896765,-2.13417969906921
"21",2024-07-01 14:00:00,14.8260002292227,"Carreço (Viana do Castelo)",14.2611374306082,18.0332223487448,12.3750949715399,19.9192648078132,16.1471798896765,-1.32117966045381
"22",2024-07-02 14:00:00,14.0130001906073,"Carreço (Viana do Castelo)",14.2611374306082,18.0332223487448,12.3750949715399,19.9192648078132,16.1471798896765,-2.13417969906921
"23",2024-07-01 14:00:00,15.0780002411921,"Norte (Viana do Castelo)",14.9268487266636,18.4649076565371,13.1578192617268,20.2339371214739,16.6958781916004,-1.61787795040825
"24",2024-07-02 14:00:00,13.9640001882799,"Norte (Viana do Castelo)",14.9268487266636,18.4649076565371,13.1578192617268,20.2339371214739,16.6958781916004,-2.73187800332045
"25",2024-07-01 14:00:00,15.3430002537789,"Cabedelo (Viana do Castelo)",14.9268487266636,18.4649076565371,13.1578192617268,20.2339371214739,16.6958781916004,-1.35287793782145
"26",2024-07-02 14:00:00,14.1440001968294,"Cabedelo (Viana do Castelo)",14.9268487266636,18.4649076565371,13.1578192617268,20.2339371214739,16.6958781916004,-2.55187799477095
"27",2024-07-01 14:00:00,15.3430002537789,"Cabedelo/Luziamar (Viana do Castelo)",14.9268487266636,18.4649076565371,13.1578192617268,20.2339371214739,16.6958781916004,-1.35287793782145
"28",2024-07-02 14:00:00,14.1440001968294,"Cabedelo/Luziamar (Viana do Castelo)",14.9268487266636,18.4649076565371,13.1578192617268,20.2339371214739,16.6958781916004,-2.55187799477095
"29",2024-07-01 14:00:00,15.3830002556788,"Amorosa-Chafé (Viana do Castelo)",14.9268487266636,18.4649076565371,13.1578192617268,20.2339371214739,16.6958781916004,-1.31287793592155
"30",2024-07-02 14:00:00,14.4110002095113,"Amorosa-Chafé (Viana do Castelo)",14.9268487266636,18.4649076565371,13.1578192617268,20.2339371214739,16.6958781916004,-2.28487798208905
